COUNTY,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01033,35660,SHEFFIELD,AL,0.180495765,0.228728992,0.205409975,0.185754466
01033,35674,TUSCUMBIA,AL,0.319265074,0.292016807,0.448858833,0.320487516
01033,35646,LEIGHTON,AL,0.071213528,0.033350840,0.017751479,0.066095924
01033,35672,TOWN CREEK,AL,0.002588560,0.000525210,0.000000000,0.002319155
01035,36473,RANGE,AL,0.015156544,0.001347709,0.011235955,0.014083080
01035,36454,LENOX,AL,0.006084744,0.004043127,0.011235955,0.005977710
01035,36474,RED LEVEL,AL,0.008961168,0.001347709,0.000000000,0.008308004
01035,36471,PETERMAN,AL,0.006306007,0.000000000,0.000000000,0.005775076
01035,36456,MC KENZIE,AL,0.034074566,0.010781671,0.011235955,0.032117528
01035,36330,ENTERPRISE,AL,0.000663790,0.000000000,0.000000000,0.000607903
01035,36432,CASTLEBERRY,AL,0.224139838,0.076819407,0.044943820,0.211448835
01035,36475,REPTON,AL,0.092377475,0.022911051,0.022471910,0.086524823
01035,36426,BREWTON,AL,0.010952539,0.008086253,0.000000000,0.010638298
01035,36502,ATMORE,AL,0.005420954,0.002695418,0.000000000,0.005167173
01035,36033,GEORGIANA,AL,0.006527271,0.001347709,0.000000000,0.006079027
01035,36421,ANDALUSIA,AL,0.013497068,0.004043127,0.000000000,0.012664640
01035,36460,MONROEVILLE,AL,0.002655161,0.006738544,0.000000000,0.002938197
01035,36401,EVERGREEN,AL,0.573072243,0.859838275,0.898876404,0.597568389
01035,36768,PINE APPLE,AL,0.000110632,0.000000000,0.000000000,0.000101317
01037,35072,GOODWATER,AL,0.179785432,0.188854489,0.294117647,0.180525402
01037,35010,ALEXANDER CITY,AL,0.168605308,0.061919505,0.147058824,0.164785063
01037,35150,SYLACAUGA,AL,0.016374929,0.034055728,0.000000000,0.016934433
01037,36026,EQUALITY,AL,0.060982496,0.040247678,0.029411765,0.060138949
01037,35151,SYLACAUGA,AL,0.210841333,0.123839009,0.000000000,0.207012592
01037,35136,ROCKFORD,AL,0.149858837,0.297213622,0.205882353,0.155232306
01037,35046,CLANTON,AL,0.018633540,0.018575851,0.000000000,0.018562744
01037,35089,KELLYTON,AL,0.144551101,0.170278638,0.323529412,0.146113765
01037,36080,TITUS,AL,0.001693958,0.000000000,0.000000000,0.001628311
01037,35183,WEOGUFKA,AL,0.048673066,0.065015480,0.000000000,0.049066435
01039,36442,FLORALA,AL,0.099187741,0.127807901,0.250000000,0.103529500
01039,36421,ANDALUSIA,AL,0.241877407,0.118900077,0.075000000,0.228258431
01039,36420,ANDALUSIA,AL,0.304639089,0.493028660,0.392857143,0.323749346
01039,36476,RIVER FALLS,AL,0.000000000,0.000387297,0.000000000,0.000037389
01039,36455,LOCKHART,AL,0.000000000,0.000387297,0.000000000,0.000037389
01039,36028,DOZIER,AL,0.031024954,0.006971340,0.000000000,0.028378075
01039,36483,WING,AL,0.009546140,0.003098373,0.000000000,0.008823749
01039,36456,MC KENZIE,AL,0.003977558,0.001549187,0.000000000,0.003701488
01039,36467,OPP,AL,0.234675934,0.229279628,0.271428571,0.234539744
01039,36477,SAMSON,AL,0.000753643,0.000387297,0.000000000,0.000710387
01039,36453,KINSTON,AL,0.001088595,0.000774593,0.000000000,0.001046886
01039,36323,ELBA,AL,0.000041869,0.000387297,0.000000000,0.000074778
01039,36038,GANTT,AL,0.000000000,0.000000000,0.007142857,0.000074778
01039,36474,RED LEVEL,AL,0.073187071,0.017041053,0.003571429,0.067038062
01041,36037,GREENVILLE,AL,0.002794497,0.002894356,0.000000000,0.002768440
01041,36049,LUVERNE,AL,0.386285469,0.723589001,0.747899160,0.413585130
01041,36041,HIGHLAND HOME,AL,0.107588134,0.072358900,0.025210084,0.104211983
01041,36036,GRADY,AL,0.052235598,0.024602026,0.000000000,0.049733043
01041,36035,GOSHEN,AL,0.027515047,0.013024602,0.008403361,0.026300178
01041,36467,OPP,AL,0.000644884,0.000000000,0.000000000,0.000593237
01041,36032,FORT DEPOSIT,AL,0.000107481,0.000000000,0.000000000,0.000098873
01041,36034,GLENWOOD,AL,0.010210662,0.004341534,0.000000000,0.009689539
01041,36323,ELBA,AL,0.001182287,0.001447178,0.008403361,0.001285347
01041,36042,HONORAVILLE,AL,0.062553740,0.011577424,0.000000000,0.058334981
01041,36028,DOZIER,AL,0.070184867,0.026049204,0.025210084,0.066640301
01041,36071,RUTLEDGE,AL,0.052128117,0.027496382,0.000000000,0.049831916
01041,36046,LAPINE,AL,0.065670679,0.021707670,0.000000000,0.061894404
01041,36009,BRANTLEY,AL,0.160898538,0.070911722,0.184873950,0.155032628
01043,35079,HAYDEN,AL,0.000000000,0.000242954,0.000000000,0.000017491
01043,35058,CULLMAN,AL,0.120792497,0.115889213,0.110262009,0.120270767
